player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0030085,Kenny Stills,2016,MIA,24.0,16.0,81,467,0.1734475374732334,168.6,10.5375,45.0,15-20%
00-0025396,Ted Ginn,2016,CAR,31.0,16.0,95,553,0.1717902350813743,163.0,10.1875,46.0,15-20%
00-0028411,Dontrelle Inman,2016,LAC,27.0,16.0,97,564,0.17198581560283688,163.0,10.1875,47.0,15-20%
00-0024334,Brandon Marshall,2016,NYJ,32.0,15.0,128,546,0.23443223443223443,155.8,10.386666666666667,48.0,20-25%
00-0031547,DeVante Parker,2016,MIA,23.0,15.0,87,467,0.18629550321199143,154.4,10.293333333333333,49.0,15-20%
00-0029632,Mohamed Sanu,2016,ATL,27.0,15.0,81,530,0.15283018867924528,148.8,9.92,50.0,15-20%
00-0028091,Jeremy Kerley,2016,SF,28.0,16.0,115,487,0.23613963039014374,148.70000000000002,9.293750000000001,51.0,20-25%
00-0028002,Randall Cobb,2016,GB,26.0,13.0,84,614,0.13680781758957655,148.3,11.407692307692308,52.0,10-15%
00-0030525,Tavon Austin,2016,LA,26.0,15.0,106,530,0.2,146.8,9.786666666666667,53.0,20-25%
00-0029137,Alshon Jeffery,2016,CHI,26.0,12.0,94,550,0.1709090909090909,146.1,12.174999999999999,54.0,15-20%
00-0032200,Ty Montgomery,2016,GB,23.0,15.0,56,614,0.09120521172638436,140.5,9.366666666666667,55.0,<10%
00-0031228,Taylor Gabriel,2016,ATL,25.0,12.0,50,530,0.09433962264150944,140.0,11.666666666666666,56.0,<10%
00-0032112,J.J. Nelson,2016,ARI,24.0,14.0,74,636,0.11635220125786164,139.1,9.935714285714285,57.0,10-15%
00-0029269,Travis Benjamin,2016,LAC,27.0,14.0,75,564,0.13297872340425532,134.4,9.6,58.0,10-15%
00-0032009,Adam Humphries,2016,TB,23.0,15.0,83,571,0.14535901926444833,133.0,8.866666666666667,59.0,10-15%
