Player,Season,Team,Conf,Class,Pos,G,RushAtt,RushYds,RushY/A,RushTD,RushY/G,Rec,RecYds,RecY/R,RecTD,RecY/G,ScrimPlays,ScrimYds,ScrimAvg,ScrimTD,Awards
Michael Wilson,2020,Stanford,Pac-12,JR,WR,4,0,0,0.0,0,0.0,19,261,13.7,1,65.3,19,261,13.7,1,
Michael Wilson,2021,Stanford,Pac-12,SR,WR,4,0,0,0.0,0,0.0,19,185,9.7,0,46.3,19,185,9.7,0,
Michael Wilson,2022,Stanford,Pac-12,SR,WR,6,4,47,11.8,0,7.8,26,418,16.1,4,69.7,30,465,15.5,4,
Dontayvion Wicks,2019,Virginia,ACC,FR,WR,10,0,0,0.0,0,0.0,3,61,20.3,1,6.1,3,61,20.3,1,
Dontayvion Wicks,2021,Virginia,ACC,SO,WR,12,0,0,0.0,0,0.0,57,1203,21.1,9,100.3,57,1203,21.1,9,
Dontayvion Wicks,2022,Virginia,ACC,JR,WR,8,0,0,0.0,0,0.0,30,430,14.3,2,53.8,30,430,14.3,2,
Parker Washington,2020,Penn State,Big Ten,FR,WR,9,0,0,0.0,0,0.0,36,489,13.6,6,54.3,36,489,13.6,6,
Parker Washington,2021,Penn State,Big Ten,SO,WR,13,2,12,6.0,0,0.9,64,820,12.8,4,63.1,66,832,12.6,4,
Parker Washington,2022,Penn State,Big Ten,SO,WR,10,2,8,4.0,0,0.8,46,611,13.3,2,61.1,48,619,12.9,2,
Tre Tucker,2019,Cincinnati,American,FR,WR,14,8,93,11.6,0,6.6,7,92,13.1,0,6.6,15,185,12.3,0,
Tre Tucker,2020,Cincinnati,American,SO,WR,10,4,25,6.3,0,2.5,18,236,13.1,3,23.6,22,261,11.9,3,
Tre Tucker,2021,Cincinnati,American,JR,WR,14,2,12,6.0,0,0.9,34,426,12.5,2,30.4,36,438,12.2,2,
Tre Tucker,2022,Cincinnati,American,SR,WR,12,1,8,8.0,0,0.7,52,671,12.9,3,55.9,53,679,12.8,3,
Cedric Tillman,2018,Tennessee,SEC,FR,WR,4,0,0,0.0,0,0.0,1,-3,-3.0,0,-0.8,1,-3,-3.0,0,
Cedric Tillman,2019,Tennessee,SEC,FR,WR,11,0,0,0.0,0,0.0,4,60,15.0,1,5.5,4,60,15.0,1,
Cedric Tillman,2020,Tennessee,SEC,SO,WR,10,0,0,0.0,0,0.0,3,67,22.3,1,6.7,3,67,22.3,1,
Cedric Tillman,2021,Tennessee,SEC,JR,WR,13,0,0,0.0,0,0.0,64,1081,16.9,12,83.2,64,1081,16.9,12,
Cedric Tillman,2022,Tennessee,SEC,SR,WR,6,0,0,0.0,0,0.0,37,417,11.3,3,69.5,37,417,11.3,3,
Jaxon Smith-Njigba,2020,Ohio State,Big Ten,FR,WR,7,0,0,0.0,0,0.0,10,49,4.9,1,7.0,10,49,4.9,1,
Jaxon Smith-Njigba,2021,Ohio State,Big Ten,SO,WR,13,0,0,0.0,0,0.0,95,1606,16.9,9,123.5,95,1606,16.9,9,
Jaxon Smith-Njigba,2022,Ohio State,Big Ten,JR,WR,3,0,0,0.0,0,0.0,5,43,8.6,0,14.3,5,43,8.6,0,
Rashee Rice,2019,SMU,American,FR,WR,10,1,0,0.0,0,0.0,25,403,16.1,1,40.3,26,403,15.5,1,
Rashee Rice,2020,SMU,American,SO,WR,10,0,0,0.0,0,0.0,48,683,14.2,5,68.3,48,683,14.2,5,
Rashee Rice,2021,SMU,American,JR,WR,12,0,0,0.0,0,0.0,64,670,10.5,9,55.8,64,670,10.5,9,
Rashee Rice,2022,SMU,American,SR,WR,12,0,0,0.0,0,0.0,96,1355,14.1,10,112.9,96,1355,14.1,10,
Jayden Reed,2018,Western Michigan,MAC,FR,WR,13,1,-9,-9.0,0,-0.7,56,797,14.2,8,61.3,57,788,13.8,8,
Jayden Reed,2020,Michigan State,Big Ten,SO,WR,7,6,17,2.8,0,2.4,33,407,12.3,3,58.1,39,424,10.9,3,
Jayden Reed,2021,Michigan State,Big Ten,JR,WR,13,7,34,4.9,1,2.6,59,1026,17.4,10,78.9,66,1060,16.1,11,
Jayden Reed,2022,Michigan State,Big Ten,SR,WR,11,4,11,2.8,0,1.0,55,636,11.6,5,57.8,59,647,11.0,5,
Puka Nacua,2019,Washington,Pac-12,FR,WR,8,0,0,0.0,0,0.0,7,168,24.0,2,21.0,7,168,24.0,2,
Puka Nacua,2020,Washington,Pac-12,SO,WR,3,0,0,0.0,0,0.0,9,151,16.8,1,50.3,9,151,16.8,1,
Puka Nacua,2021,BYU,Ind,,WR,12,14,148,10.6,0,12.3,43,805,18.7,6,67.1,57,953,16.7,6,
Puka Nacua,2022,BYU,Ind,JR,WR,9,25,209,8.4,5,23.2,48,625,13.0,5,69.4,73,834,11.4,10,
Jonathan Mingo,2019,Ole Miss,SEC,FR,WR,12,0,0,0.0,0,0.0,12,172,14.3,1,14.3,12,172,14.3,1,
Jonathan Mingo,2020,Ole Miss,SEC,SO,WR,10,0,0,0.0,0,0.0,27,379,14.0,3,37.9,27,379,14.0,3,
Jonathan Mingo,2021,Ole Miss,SEC,JR,WR,6,0,0,0.0,0,0.0,22,346,15.7,3,57.7,22,346,15.7,3,
Jonathan Mingo,2022,Ole Miss,SEC,SR,WR,13,4,-7,-1.8,1,-0.5,51,861,16.9,5,66.2,55,854,15.5,6,
Marvin Mims,2020,Oklahoma,Big 12,FR,WR,11,2,17,8.5,0,1.5,37,610,16.5,9,55.5,39,627,16.1,9,
Marvin Mims,2021,Oklahoma,Big 12,SO,WR,13,1,15,15.0,0,1.2,32,705,22.0,5,54.2,33,720,21.8,5,
