team,games,total_yds,total_ypg,pass_yds,pass_ypg,rush_yds,rush_ypg,points,points_per_game
Miami (FL),13,6983,537.2,4527,348.2,2456,188.9,571.0,43.9
Mississippi,13,6846,526.6,4561,350.8,2285,175.8,502.0,38.6
Texas Tech,13,6016,462.8,3857,296.7,2159,166.1,489.0,37.6
Arkansas,13,5970,459.2,3571,274.7,2399,184.5,402.0,30.9
Clemson,14,6326,451.9,3899,278.5,2427,173.4,486.0,34.7
Louisville,13,5840,449.2,3433,264.1,2407,185.2,474.0,36.5
Baylor,13,5721,440.1,3397,261.3,2324,178.8,447.0,34.4
Texas,16,7000,437.5,4460,278.8,2540,158.8,528.0,33.0
Oregon,14,6124,437.4,3913,279.5,2211,157.9,488.0,34.9
USC,13,5684,437.2,3795,291.9,1889,145.3,392.0,30.2
East Carolina,13,5673,436.4,3432,264.0,2241,172.4,416.0,32.0
LSU,13,5610,431.5,4097,315.2,1513,116.4,396.0,30.5
Penn St.,16,6883,430.2,3646,227.9,3237,202.3,530.0,33.1
Arizona St.,14,6012,429.4,3213,229.5,2799,199.9,461.0,32.9
Ohio St.,16,6870,429.4,4208,263.0,2662,166.4,571.0,35.7
Indiana,13,5543,426.4,3397,261.3,2146,165.1,537.0,41.3
Cincinnati,12,5047,420.6,2838,236.5,2209,184.1,302.0,25.2
Texas A&M,13,5279,406.1,2734,210.3,2545,195.8,395.0,30.4
Georgia,14,5676,405.4,3934,281.0,1742,124.4,443.0,31.6
Notre Dame,16,6385,399.1,3170,198.1,3215,200.9,578.0,36.1
Connecticut,13,5169,397.6,2579,198.4,2590,199.2,415.0,31.9
BYU,13,5100,392.3,3007,231.3,2093,161.0,405.0,31.2
Washington,13,5076,390.5,3402,261.7,1674,128.8,304.0,23.4
Georgia St.,12,4668,389.0,3069,255.8,1599,133.3,286.0,23.8
Alabama,13,5333,410.2,3073,236.4,2260,173.8,439.0,33.8
Rutgers,13,4975,382.7,2696,207.4,2279,175.3,376.0,28.9
Wake Forest,12,4448,370.7,2881,240.1,1567,130.6,308.0,25.7
Boston Col.,13,4754,365.7,2591,199.3,2163,166.4,366.0,28.2
Nebraska,13,4667,359.0,2969,228.4,1698,130.6,306.0,23.5
Oklahoma,13,4303,331.0,2286,175.8,2017,155.2,312.0,24.0
Kentucky,12,3965,330.4,2218,184.8,1747,145.6,247.0,20.6
Utah,12,3958,329.8,2393,199.4,1565,130.4,283.0,23.6
Iowa,13,4275,328.8,1711,131.6,2564,197.2,360.0,27.7
Stanford,12,3887,323.9,2295,191.3,1592,132.7,274.0,22.8
Vanderbilt,13,4139,318.4,2322,178.6,1817,139.8,357.0,27.5
Houston,12,3450,287.5,1832,152.7,1618,134.8,168.0,14.0
Boise St.,14,6524,466.0,3158,225.6,3366,240.4,,
UCF,12,5373,447.8,2396,199.7,2977,248.1,,
Virginia Tech,13,4781,367.8,2462,189.4,2319,178.4,,
North Carolina,13,5287,406.7,2917,224.4,2370,182.3,,
Arizona,12,4254,354.5,2975,247.9,1279,106.6,,
Iowa St.,14,5827,416.2,3580,255.7,2247,160.5,,
Missouri,13,5064,389.6,2926,225.1,2138,164.5,,
TCU,13,5549,426.8,4068,312.9,1481,113.9,,
Tennessee,13,5811,447.0,2876,221.2,2935,225.8,,
Colorado,13,4982,383.2,4134,318.0,848,65.2,,
Michigan,13,3721,286.2,1678,129.1,2043,157.2,286.0,22.0
Kansas,12,5042,420.2,2506,208.8,2537,211.4,,
Washington St.,13,5756,442.8,3589,276.1,2168,166.8,,
