player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
Eric Gray,NYG,26.0,216.0,00-0038396,0.0,15.0,,,,,,,,0.0,11.0,25.0,0.05733005733005733,0.0,,4.0,handcuff,not_applicable,none
Gary Brightwell,CIN,28.0,216.0,00-0036569,0.0,3.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,5.0,unconfirmed,not_applicable,none
J'Mari Taylor,JAX,24.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Ja'Quinden Jackson,,24.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
JaMycal Hasty,,29.0,216.0,00-0035806,,12.0,,,,,,,,,12.0,32.0,0.07223476297968397,,,,committee_back,2-down,none
Jaleel McLaughlin,DEN,25.0,216.0,00-0038794,0.021832191780821863,8.0,,5.0,0.0301204819277108,0.0555555555555555,0.054054054054054,,0.046801872074883,37.0,6.0,43.0,0.09492273730684327,0.05504587155963303,5.219512195121951,3.0,handcuff,not_applicable,none
Jalen White,,23.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Jaydn Ott,KC,23.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Jermar Jefferson,,26.0,216.0,00-0036670,,2.0,,,,,,,,,1.0,7.0,0.011904761904761904,,,,unconfirmed,not_applicable,none
Joe Mixon,FA,29.0,216.0,00-0033897,,14.0,,,,,,,,,52.0,297.0,0.7191283292978208,,,1.0,bellcow,2-down,none
Jonathan Ward,,28.0,216.0,00-0035924,,4.0,,,,,,,,,0.0,5.0,0.009345794392523364,,,,committee_back,2-down,none
Jordan Mims,MIN,27.0,216.0,00-0038678,0.0,9.0,,,,,,,,0.0,18.0,38.0,0.07051728137323127,0.0,,4.0,handcuff,not_applicable,none
Julius Chestnut,TEN,25.0,216.0,00-0037594,0.0040094339622640685,16.0,,4.0,0.0416666666666666,0.0689655172413793,0.0909090909090909,,0.0271565495207667,11.0,2.0,13.0,0.030878859857482184,0.021505376344086023,3.6363636363636362,3.0,handcuff,not_applicable,none
Kalel Mullings,TEN,23.0,216.0,00-0040205,0.0,4.0,,0.0,0.0,0.0,0.0,,0.0063897763578274,3.0,0.0,3.0,0.007125890736342043,0.0,2.3333333333333335,4.0,handcuff,not_applicable,none
Kalen Ballage,,26.0,216.0,00-0034799,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Kareem Hunt,FA,30.0,216.0,00-0033923,0.0455373406193078,17.0,,43.0,0.2544378698224852,0.5,0.0122699386503067,0.7272727272727273,0.4684542586750788,163.0,25.0,188.0,0.43119266055045874,0.2777777777777778,4.165745856353591,2.0,committee_back,3-down,none
Kendall Milton,CIN,24.0,216.0,00-0039266,0.0,1.0,,0.0,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0044943820224719105,0.0,1.0,4.0,unconfirmed,not_applicable,none
Kenny McIntosh,,26.0,216.0,00-0038636,,11.0,,,,,,,,,4.0,35.0,0.08101851851851852,,,,committee_back,2-down,none
Khalil Herbert,SF,28.0,216.0,00-0036906,0.02881355932203376,5.0,corrected,4.0,0.032258064516129,0.0357142857142857,0.0,,0.0536672629695885,16.0,4.0,20.0,0.047961630695443645,0.047619047619047616,3.2941176470588234,2.0,handcuff,not_applicable,none
Lan Larison,NE,24.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Le'Veon Moss,,,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Marlon Mack,,28.0,216.0,00-0033951,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Matt Breida,,29.0,216.0,00-0033308,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Michael Carter,TEN,27.0,216.0,00-0036501,0.09537464156588958,13.0,corrected,15.0,0.0955414012738853,0.1111111111111111,0.0217391304347826,0.2901785714285714,0.3769338959212377,,,,,,,,bellcow,2-down,none
Miles Sanders,,28.0,216.0,00-0035243,0.056013179571663824,4.0,corrected,7.0,0.0360824742268041,0.0612244897959183,0.05,,0.0516717325227963,20.0,8.0,28.0,0.060215053763440864,0.0975609756097561,5.25,,committee_back,2-down,none
Montrell Johnson,,23.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Nathan Carter,ATL,24.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Nick Chubb,FA,30.0,216.0,00-0034791,0.0409885473176612,15.0,,15.0,0.0955414012738853,0.1666666666666666,0.0327868852459016,0.0995670995670995,0.2621359223300971,122.0,20.0,142.0,0.3053763440860215,0.2631578947368421,4.2444444444444445,3.0,handcuff,not_applicable,none
Noah Whittington,HOU,24.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Pierre Strong,GB,27.0,216.0,00-0038098,,13.0,,,,,,,,,22.0,48.0,0.12151898734177215,,,2.0,handcuff,not_applicable,none
Raheem Blackshear,DET,28.0,216.0,00-0037429,,16.0,,,,,,,,,0.0,15.0,0.034722222222222224,,,3.0,handcuff,not_applicable,none
Raheim Sanders,CLE,24.0,216.0,00-0040466,0.03256704980842893,4.0,corrected,7.0,0.059322033898305,0.1428571428571428,0.0,,0.0343698854337152,27.0,4.0,31.0,0.0649895178197065,0.03305785123966942,3.7666666666666666,3.0,handcuff,not_applicable,none
Roman Hemby,LV,23.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Ronald Jones,,26.0,216.0,00-0034816,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Sione Vaki,DET,25.0,216.0,00-0039364,0.0,8.0,,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,0.0018867924528301887,0.0,4.0,5.0,handcuff,not_applicable,none
Theo Riddick,,30.0,216.0,00-0030107,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Trayveon Williams,,28.0,216.0,00-0035291,0.04687499999999994,6.0,corrected,2.0,0.0169491525423728,0.0,0.0,0.1617021276595744,0.0949263502454991,10.0,9.0,19.0,0.039832285115303984,0.0743801652892562,5.055555555555555,,committee_back,2-down,none
Tre Stewart,,23.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Trey Sermon,,26.0,216.0,00-0036984,0.0,18.0,,,,,,,,0.0,19.0,75.0,0.13706140350877194,0.0,,,committee_back,2-down,none
Tyler Goodson,ATL,25.0,216.0,00-0037120,0.009622641509433849,10.0,,1.0,0.0053763440860215,0.0,0.0,,0.0395189003436426,9.0,3.0,12.0,0.02666666666666667,0.03896103896103896,2.909090909090909,3.0,handcuff,not_applicable,none
Wayne Gallman,,28.0,216.0,00-0033950,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
