player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
Dylan Sampson,CLE,21.0,171.9,00-0040162,0.08684546615581104,15.0,,13.0,0.1101694915254237,0.0285714285714285,0.0307692307692307,0.1872340425531914,0.2454991816693944,65.0,40.0,105.0,0.22012578616352202,0.3305785123966942,4.551020408163265,2.0,handcuff,not_applicable,none
Samaje Perine,CIN,30.0,215.5,00-0033526,0.03914473684210524,15.0,,17.0,0.1180555555555555,0.2424242424242424,0.0238095238095238,0.6153846153846154,0.3220588235294118,84.0,21.0,105.0,0.23595505617977527,0.1891891891891892,4.643564356435643,2.0,handcuff,not_applicable,none
Tyler Allgeier,ARI,26.0,156.0,00-0037263,0.0308285163776493,17.0,,33.0,0.2426470588235294,0.4634146341463415,0.0349650349650349,0.2898550724637681,0.2369337979094076,143.0,16.0,159.0,0.2849462365591398,0.13445378151260504,3.8853503184713376,2.0,committee_back,2-down,none
AJ Dillon,CAR,28.0,216.0,00-0036265,0.01831896551724135,6.0,,3.0,0.0198675496688741,0.0,0.0,,0.0449438202247191,12.0,3.0,15.0,0.03424657534246575,0.043478260869565216,5.4,3.0,handcuff,not_applicable,none
Ty Johnson,BUF,28.0,215.6,00-0035537,0.0688935281837161,17.0,,23.0,0.1179487179487179,0.171875,0.04,0.7047619047619048,0.4191176470588235,50.0,33.0,83.0,0.16370808678500987,0.375,6.256756756756757,2.0,handcuff,not_applicable,none
Jordan James,SF,22.0,214.0,00-0040177,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Braelon Allen,NYJ,22.0,213.2,00-0039794,0.02701271186440665,4.0,corrected,9.0,0.0725806451612903,0.1428571428571428,0.0526315789473684,,0.035778175313059,18.0,3.0,21.0,0.050359712230215826,0.03571428571428571,4.65,3.0,handcuff,not_applicable,none
Emari Demercado,KC,27.0,215.8,00-0038705,0.04592112371690973,12.0,,9.0,0.0573248407643312,0.1111111111111111,0.1136363636363636,0.3928571428571428,0.1926863572433192,44.0,20.0,64.0,0.15421686746987953,0.16129032258064516,7.245614035087719,3.0,handcuff,not_applicable,none
Mike Washington,LV,23.0,198.5,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Kaelon Black,SF,24.0,202.2,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Tank Bigsby,PHI,23.0,159.8,00-0038555,0.00828762949421084,15.0,,18.0,0.119205298013245,0.1836734693877551,0.0862068965517241,,0.099250936329588,63.0,4.0,67.0,0.15296803652968036,0.057971014492753624,5.878787878787879,2.0,handcuff,not_applicable,none
Keaton Mitchell,LAC,24.0,134.8,00-0038454,0.03855603855603858,13.0,,14.0,0.0864197530864197,0.0384615384615384,0.1016949152542373,,0.1066098081023454,59.0,12.0,71.0,0.15268817204301074,0.1643835616438356,5.9411764705882355,4.0,committee_back,2-down,none
Malik Davis,DAL,27.0,215.9,00-0037563,0.014003294892915848,10.0,,8.0,0.0412371134020618,0.0816326530612244,0.0769230769230769,,0.1246200607902735,52.0,5.0,57.0,0.12258064516129032,0.06097560975609756,4.925925925925926,2.0,handcuff,not_applicable,none
Adam Randall,BAL,22.0,215.8,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Chris Brooks,GB,26.0,216.0,00-0038685,0.0369565217391304,17.0,,6.0,0.0368098159509202,0.0222222222222222,0.0,0.3058252427184466,0.2461538461538461,27.0,17.0,44.0,0.09482758620689655,0.21794871794871795,4.925,3.0,handcuff,not_applicable,none
Kimani Vidal,LAC,24.0,213.2,00-0039391,0.05288461538461534,13.0,,32.0,0.2064516129032258,0.3142857142857143,0.0387096774193548,0.4701195219123506,0.4292527821939587,155.0,22.0,177.0,0.41843971631205673,0.3188405797101449,4.555555555555555,2.0,committee_back,mixed-down,none
James Conner,ARI,31.0,214.5,00-0033553,0.08265802269043754,19.0,corrected,6.0,0.0382165605095541,0.0833333333333333,0.0,,0.0590717299578059,32.0,64.0,332.0,0.5414632553253448,0.07258064516129033,3.325,1.0,bellcow,2-down,none
