player_id,player_name,position,team,bye_week,age,injury_status,projection_points,projection_rank,position_rank,tier,ceiling_projection,floor_projection,adp,adp_rank,expert_rank,projection_source,archetype_primary,archetype_confidence,injury_risk,durability_grade,boom_score,bust_score,stability_score,archetype
11065.0,Adrian Martinez,QB,SF,,26.0,Active,9.3,70.0,,,,,,,,real,unclassified,0.0,30.0,,,,70.0,STEADY
13346.0,Denzel Boston,WR,CLE,11.0,22.0,Active,99.8,71.0,60.0,10.0,,,154.3,155.0,162.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
11599.0,Cade Stover,TE,HOU,,26.0,Active,25.5,71.0,,,,,216.0,356.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
13404.0,Garrett Nussmeier,QB,KC,,24.0,Active,9.2,71.0,,,,,,,,real,unclassified,0.0,30.0,,,,70.0,STEADY
13276.0,Omar Cooper,WR,NYJ,13.0,22.0,Active,97.3,72.0,59.0,10.0,,,145.1,145.0,158.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
12457.0,Jaydon Blue,RB,DAL,14.0,22.0,Active,42.1,72.0,80.0,13.0,,,181.7,183.0,276.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
13335.0,Cole Payton,QB,PHI,,23.0,Active,9.2,72.0,,,,,216.0,371.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
12658.0,Jackson Hawes,TE,BUF,7.0,25.0,Active,25.4,72.0,66.0,16.0,,,216.0,451.0,446.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
11581.0,MarShawn Lloyd,RB,GB,11.0,25.0,Active,39.9,73.0,70.0,12.0,,,189.2,190.0,248.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
13274.0,Germie Bernard,WR,PIT,9.0,22.0,Active,95.8,73.0,85.0,12.0,,,193.7,194.0,234.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
13282.0,Jack Endries,TE,CIN,,22.0,Active,24.8,73.0,,,,,216.0,449.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
5127.0,Kyle Allen,QB,BUF,,30.0,Active,9.1,73.0,,,,,216.0,530.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
12530.0,Travis Hunter,WR,JAX,7.0,23.0,Active,90.8,74.0,61.0,10.0,,,140.7,140.0,164.0,real,possession_wr,0.337,30.0,,,,70.0,STEADY
11571.0,Isaiah Davis,RB,NYJ,13.0,24.0,Questionable,38.3,74.0,76.0,13.0,,,215.8,267.0,264.0,real,unclassified,0.0,65.0,,,,35.0,UNKNOWN
10871.0,Luke Schoonmaker,TE,DAL,14.0,27.0,Active,24.4,74.0,68.0,16.0,,,216.0,544.0,449.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
3976.0,Mitchell Trubisky,QB,TEN,,31.0,Active,9.0,74.0,,,,,216.0,571.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
12048.0,George Holani,RB,SEA,11.0,26.0,Active,37.1,75.0,85.0,13.0,,,212.4,217.0,284.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
11626.0,Xavier Legette,WR,CAR,5.0,25.0,Active,90.8,75.0,102.0,13.0,,,214.8,233.0,286.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
12510.0,Jalen Milroe,QB,SEA,,23.0,Active,9.0,75.0,,,,,215.9,289.0,,real,unclassified,0.0,30.0,,,,70.0,STEADY
10220.0,Will Mallory,TE,IND,,27.0,Active,24.1,75.0,,,,,,,,real,unclassified,0.0,30.0,,,,70.0,STEADY
9504.0,Kayshon Boutte,WR,NE,11.0,24.0,Active,89.5,76.0,64.0,10.0,,,195.6,196.0,169.0,real,deep_threat_wr,0.551,30.0,,,,70.0,STEADY
12544.0,LeQuint Allen,RB,JAX,7.0,22.0,Active,34.9,76.0,88.0,13.0,,,215.7,261.0,293.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
11557.0,Joe Milton,QB,DAL,14.0,26.0,Active,8.5,76.0,42.0,15.0,,,216.0,484.0,388.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
7075.0,Charlie Woerner,TE,ATL,,28.0,Active,23.5,76.0,,,,,,,,real,blocking_te,0.269,30.0,,,,70.0,STEADY
9506.0,Sean Tucker,RB,TB,10.0,24.0,Active,34.4,77.0,60.0,11.0,,,191.2,192.0,184.0,real,goal_line_rb,0.121,30.0,,,,70.0,STEADY
7090.0,Darnell Mooney,WR,NYG,8.0,28.0,Active,87.5,77.0,76.0,11.0,,,201.3,199.0,206.0,real,unclassified,0.0,30.0,,,,70.0,STEADY
