player_name,team,age,adp,player_id,target_share,games_played,snap_share,redzone_target_share,redzone_targets,adot,targets,te_archetype_primary,te_leans,te_role_profile
Nate Adkins,DEN,27.0,216.0,00-0038783,0.053367579908675904,6.0,0.1745614035087719,0.0224719101123595,2.0,3.1818181818181817,11.0,unconfirmed,none,
Ben Sinnott,WAS,24.0,215.9,00-0039912,0.05684156378600824,9.0,0.3235294117647059,0.0196078431372549,1.0,8.153846153846153,13.0,blocking_te,none,
Cade Stover,HOU,26.0,216.0,00-0039359,0.08197709463532259,6.0,0.2267241379310345,0.0379746835443038,3.0,1.9375,16.0,unconfirmed,none,
Jackson Hawes,BUF,25.0,216.0,00-0040194,0.05187088485627109,13.0,0.4302120141342756,0.0384615384615384,3.0,7.315789473684211,19.0,blocking_te,none,
Jack Endries,CIN,22.0,216.0,,,,,,,,,unconfirmed,none,
Luke Schoonmaker,DAL,27.0,216.0,00-0038547,0.046010826076723986,14.0,0.3296795952782462,0.0192307692307692,2.0,7.173913043478261,23.0,blocking_te,none,
Will Mallory,IND,27.0,,00-0038394,0.0320754716981117,1.0,0.0149253731343283,0.0,0.0,16.0,1.0,unconfirmed,none,
Charlie Woerner,ATL,28.0,,00-0036429,0.04211395540875298,7.0,0.5155109489051095,0.015625,1.0,1.3333333333333333,9.0,blocking_te,none,
Grant Calcaterra,PHI,27.0,216.0,00-0037086,0.05292145593869723,9.0,0.3605313092979127,0.0491803278688524,3.0,6.538461538461538,13.0,blocking_te,none,
Foster Moreau,HOU,29.0,216.0,00-0034981,0.042983565107458946,7.0,0.2250889679715302,0.0192307692307692,1.0,1.0,10.0,unconfirmed,none,
Teagan Quitoriano,ARI,26.0,,00-0037277,0.0,2.0,0.1213503649635036,,,,0.0,unconfirmed,none,
Bauer Sharp,TB,23.0,,,,,,,,,,unconfirmed,none,
Tanner Hudson,CIN,31.0,216.0,00-0034613,0.06710526315789471,10.0,0.1332133213321332,0.073170731707317,6.0,4.958333333333333,24.0,unconfirmed,none,
Cam Grandy,CIN,26.0,,00-0039631,0.027960526315789252,2.0,0.0252025202520252,0.0,0.0,-3.0,2.0,unconfirmed,none,
Dallen Bentley,DEN,25.0,216.0,,,,,,,,,unconfirmed,none,
Tanner Conner,NYG,28.0,216.0,00-0037348,0.06899350649350657,8.0,0.1845056065239551,0.044776119402985,3.0,7.933333333333334,15.0,unconfirmed,none,
Mo Alie-Cox,IND,32.0,216.0,00-0033217,0.05831903945111496,11.0,0.3908582089552239,0.072289156626506,6.0,4.65,20.0,blocking_te,none,
Jared Wiley,KC,25.0,216.0,00-0039824,0.01548269581056455,2.0,0.0251572327044025,0.0,0.0,-4.0,1.0,unconfirmed,none,
Jaheim Bell,PIT,25.0,,00-0039420,,,,,,,,unconfirmed,none,
Zack Kuntz,DAL,27.0,,00-0038406,,,,,,,,unconfirmed,none,
Seydou Traore,MIA,23.0,216.0,,,,,,,,,unconfirmed,none,
Durham Smythe,BAL,30.0,216.0,00-0034798,0.027389903329752944,7.0,0.2538994800693241,0.0,0.0,4.0,6.0,unconfirmed,none,
Payne Durham,TB,26.0,216.0,00-0039050,0.01571164510166351,8.0,0.3121693121693121,0.0131578947368421,1.0,4.0,4.0,blocking_te,none,
Max Klare,LAR,23.0,216.0,,,,,,,,,unconfirmed,none,
