player_name,position,draft_season,draft_pick,landing_team,college,height_inches,weight,forty_time,college_dominator_final_year,college_dominator_career,breakout_age,projected_tier,composite,sample_weight,status,tag,display_weight,display_status,display_tag,component_draft_capital,component_dominator,component_athletic,component_roster_competition,component_offense_environment,component_schedule,component_breakout_age,games,attempts,rushing_data_status,component_ncaa_passer_rating,generated_at
Reggie Virgil,WR,2026,143,ARI,Texas Tech,75.0,187.0,4.57,18.1,,,complementary,42.9,0.0,projected,complementary,0.0,projected,complementary,40.9,39.8,,60.0,40.0,72.5,20.0,,,,,2026-08-17T02:16:54+00:00
Emmett Johnson,RB,2026,161,KC,Nebraska,70.25,202.0,4.56,,76.5,,committee,63.0,0.0,projected,committee,0.0,projected,committee,41.9,100.0,77.9,60.0,67.5,32.5,,,,,,2026-08-17T02:16:54+00:00
Nicholas Singleton,RB,2026,165,TEN,Penn St.,72.25,219.0,,,,,committee,45.4,0.0,projected,committee,0.0,projected,committee,41.3,50.0,50.0,60.0,7.5,97.5,,,,,,2026-08-17T02:16:54+00:00
Kendrick Law,WR,2026,168,DET,Kentucky,71.0,203.0,4.45,22.3,,,complementary,48.7,0.0,projected,complementary,0.0,projected,complementary,37.0,49.1,,60.0,92.5,65.0,20.0,,,,,2026-08-17T02:16:54+00:00
Adam Randall,RB,2026,174,BAL,Clemson,75.38,232.0,4.5,,,,committee,62.9,0.0,projected,committee,0.0,projected,committee,40.0,50.0,94.3,80.0,67.5,62.5,,,,,,2026-08-17T02:16:54+00:00
Cyrus Allen,WR,2026,176,KC,Cincinnati,,,,,,,complementary,44.5,0.0,projected,complementary,0.0,projected,complementary,36.0,50.0,,60.0,67.5,32.5,20.0,,,,,2026-08-17T02:16:54+00:00
Kaytron Allen,RB,2026,187,WAS,Penn St.,71.38,216.0,,,57.5,,committee,51.5,0.0,projected,committee,0.0,projected,committee,38.3,100.0,50.0,40.0,45.0,55.0,,,,,,2026-08-17T02:16:54+00:00
Barion Brown,WR,2026,190,NO,LSU,71.0,177.0,4.4,,,,complementary,46.5,0.0,projected,complementary,0.0,projected,complementary,34.2,50.0,,80.0,30.0,100.0,20.0,,,,,2026-08-17T02:16:54+00:00
Josh Cameron,WR,2026,191,JAX,Baylor,73.5,220.0,,,,,complementary,43.4,0.0,projected,complementary,0.0,projected,complementary,34.1,50.0,,40.0,85.0,50.0,20.0,,,,,2026-08-17T02:16:54+00:00
Malik Benson,WR,2026,195,LV,Oregon,72.0,189.0,4.37,18.9,,,complementary,40.0,0.0,projected,complementary,0.0,projected,complementary,33.6,41.6,,80.0,0.0,77.5,20.0,,,,,2026-08-17T02:16:54+00:00
CJ Daniels,WR,2026,197,LAR,Miami (FL),74.0,202.0,,13.7,,,complementary,43.0,0.0,projected,complementary,0.0,projected,complementary,33.4,30.1,,60.0,100.0,55.0,20.0,,,,,2026-08-17T02:16:54+00:00
Demond Claiborne,RB,2026,198,MIN,Wake Forest,69.75,188.0,4.37,,,,committee,46.9,0.0,projected,committee,0.0,projected,committee,37.0,50.0,85.9,60.0,15.0,22.5,,,,,,2026-08-17T02:16:54+00:00
CJ Williams,WR,2026,203,JAX,Stanford,,,,,,,complementary,43.0,0.0,projected,complementary,0.0,projected,complementary,32.8,50.0,,40.0,85.0,50.0,20.0,,,,,2026-08-17T02:16:54+00:00
Lewis Bond,WR,2026,204,HOU,Boston Col.,,,,29.5,,,complementary,47.4,0.0,projected,complementary,0.0,projected,complementary,32.6,64.9,,80.0,50.0,15.0,20.0,,,,,2026-08-17T02:16:54+00:00
Anthony Smith,WR,2026,218,DAL,East Carolina,,,,,,,complementary,47.0,0.0,projected,complementary,0.0,projected,complementary,31.2,50.0,,60.0,100.0,52.5,20.0,,,,,2026-08-17T02:16:54+00:00
Seth McGowan,RB,2026,237,IND,Kentucky,72.25,223.0,4.49,,43.4,,bellcow,71.8,0.0,projected,bellcow,0.0,projected,bellcow,32.9,95.5,91.4,80.0,90.0,87.5,,,,,,2026-08-17T02:16:54+00:00
Jam Miller,RB,2026,245,NE,Alabama,70.25,209.0,4.42,,,,committee,60.8,0.0,projected,committee,0.0,projected,committee,32.1,50.0,91.3,60.0,100.0,60.0,,,,,,2026-08-17T02:16:54+00:00
Deion Burks,WR,2026,254,IND,Oklahoma,69.75,180.0,4.3,,,,complementary,43.7,0.0,projected,complementary,0.0,projected,complementary,28.0,50.0,,40.0,90.0,87.5,20.0,,,,,2026-08-17T02:16:54+00:00
Bijan Robinson,RB,2023,8,ATL,Texas,71.0,215.0,4.46,,,,bellcow,75.0,1.0,confirmed,bellcow,1.0,confirmed,bellcow,93.6,50.0,90.6,60.0,67.5,75.0,,,,,,2026-08-17T02:16:54+00:00
Jahmyr Gibbs,RB,2023,12,DET,Alabama,69.0,199.0,4.36,,,,bellcow,78.3,1.0,confirmed,bellcow,1.0,confirmed,bellcow,90.6,50.0,91.8,60.0,97.5,65.0,,,,,,2026-08-17T02:16:54+00:00
Jaxon Smith-Njigba,WR,2023,20,SEA,Ohio St.,73.0,196.0,,,,,complementary,61.1,1.0,confirmed,alpha,1.0,confirmed,alpha,83.2,50.0,,60.0,62.5,45.0,20.0,,,,,2026-08-17T02:16:54+00:00
Quentin Johnston,WR,2023,21,LAC,TCU,75.0,208.0,,,,,complementary,61.4,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,82.5,50.0,,40.0,85.0,70.0,20.0,,,,,2026-08-17T02:16:54+00:00
Zay Flowers,WR,2023,22,BAL,Boston Col.,69.0,182.0,4.42,,,,complementary,61.5,1.0,confirmed,alpha,1.0,confirmed,alpha,81.8,50.0,,60.0,62.5,62.5,20.0,,,,,2026-08-17T02:16:54+00:00
Jordan Addison,WR,2023,23,MIN,USC,71.0,173.0,4.49,,,,complementary,60.0,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,81.1,50.0,,60.0,70.0,22.5,20.0,,,,,2026-08-17T02:16:54+00:00
Jonathan Mingo,WR,2023,39,CAR,Mississippi,74.0,220.0,4.46,,,,complementary,49.6,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,71.7,50.0,,20.0,32.5,75.0,20.0,,,,,2026-08-17T02:16:54+00:00
Jayden Reed,WR,2023,50,GB,Michigan St.,71.0,187.0,4.45,,,,complementary,54.7,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,66.4,50.0,,60.0,57.5,45.0,20.0,,,,,2026-08-17T02:16:54+00:00
Zach Charbonnet,RB,2023,52,SEA,UCLA,72.0,214.0,4.53,,,,committee,64.6,1.0,confirmed,committee_back,1.0,confirmed,committee_back,69.1,50.0,84.7,60.0,62.5,45.0,,,,,,2026-08-17T02:16:54+00:00
Rashee Rice,WR,2023,55,KC,SMU,73.0,204.0,4.51,,,,complementary,60.6,1.0,confirmed,alpha,1.0,confirmed,alpha,64.3,50.0,,80.0,100.0,32.5,20.0,,,,,2026-08-17T02:16:54+00:00
Marvin Mims,WR,2023,63,DEN,Oklahoma,71.0,183.0,4.38,,,,complementary,49.1,1.0,confirmed,complementary,1.0,confirmed,complementary,61.1,50.0,,60.0,17.5,50.0,20.0,,,,,2026-08-17T02:16:54+00:00
Josh Downs,WR,2023,79,IND,North Carolina,69.0,171.0,4.48,,,,complementary,45.8,1.0,confirmed,high_floor,1.0,confirmed,high_floor,55.6,50.0,,40.0,15.0,87.5,20.0,,,,,2026-08-17T02:16:54+00:00
Tyjae Spears,RB,2023,81,TEN,Tulane,70.0,201.0,,,,,committee,57.3,1.0,confirmed,handcuff,1.0,confirmed,handcuff,58.9,50.0,50.0,80.0,25.0,97.5,,,,,,2026-08-17T02:16:54+00:00
De'Von Achane,RB,2023,84,MIA,Texas A&M,69.0,188.0,4.32,,,,committee,63.0,1.0,confirmed,bellcow,1.0,confirmed,bellcow,58.0,50.0,90.0,60.0,77.5,20.0,,,,,,2026-08-17T02:16:54+00:00
Michael Wilson,WR,2023,94,ARI,Stanford,74.0,213.0,4.58,,,,complementary,45.8,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,51.3,50.0,,40.0,37.5,72.5,20.0,,,,,2026-08-17T02:16:54+00:00
Chase Brown,RB,2023,163,CIN,Illinois,70.0,209.0,4.43,,,,committee,68.2,1.0,confirmed,bellcow,1.0,confirmed,bellcow,41.6,50.0,90.4,80.0,100.0,72.5,,,,,,2026-08-17T02:16:54+00:00
Puka Nacua,WR,2023,177,LAR,BYU,74.0,201.0,,,,,complementary,43.8,1.0,confirmed,alpha,1.0,confirmed,alpha,35.8,50.0,,80.0,20.0,55.0,20.0,,,,,2026-08-17T02:16:54+00:00
Parker Washington,WR,2023,185,JAX,Penn St.,70.0,204.0,,,,,complementary,47.2,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,34.8,50.0,,60.0,90.0,50.0,20.0,,,,,2026-08-17T02:16:54+00:00
Chris Rodriguez,RB,2023,193,WAS,Kentucky,72.0,217.0,,,,,committee,47.0,1.0,confirmed,committee_back,1.0,confirmed,committee_back,37.6,50.0,50.0,60.0,40.0,55.0,,,,,,2026-08-17T02:16:54+00:00
Marvin Harrison,WR,2024,4,ARI,Ohio St.,75.0,209.0,,,,,complementary,59.0,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,96.1,50.0,,20.0,42.5,72.5,20.0,,,,,2026-08-17T02:16:54+00:00
Malik Nabers,WR,2024,6,NYG,LSU,72.0,200.0,,35.6,,20.0,complementary,72.5,1.0,confirmed,alpha,1.0,confirmed,alpha,94.3,78.3,,60.0,10.0,57.5,70.0,,,,,2026-08-17T02:16:54+00:00
Rome Odunze,WR,2024,9,CHI,Washington,75.0,212.0,4.45,31.8,,21.0,alpha,75.6,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,91.7,70.0,,80.0,55.0,60.0,55.0,,,,,2026-08-17T02:16:54+00:00
Brian Thomas,WR,2024,23,JAX,LSU,75.0,209.0,4.33,26.7,,20.0,complementary,64.6,1.0,confirmed,boom_bust,1.0,confirmed,boom_bust,81.1,58.7,,40.0,60.0,50.0,70.0,,,,,2026-08-17T02:16:54+00:00
