player_name,position,team,adp,adp_rank,projection_points,sportsbook_half_ppr_points,adp_position_rank,sportsbook_position_rank,position_rank_gap,projection_gap,projection_gap_pct,categories_available
KC Concepcion,WR,CLE,117.6,117.0,115.4,118.35,WR51,WR55,-4.0,2.95,2.556,4
Kaelon Black,RB,SF,202.2,200.0,68.6,39.3,RB61,RB75,-14.0,-29.3,-42.711,4
Tank Bigsby,RB,PHI,159.8,160.0,65.6,63.2,RB49,RB51,-2.0,-2.4,-3.659,4
Jerry Jeudy,WR,CLE,178.5,177.0,115.1,102.45,WR72,WR61,11.0,-12.65,-10.99,4
Jayden Higgins,WR,HOU,122.3,122.0,113.3,116.55,WR53,WR56,-3.0,3.25,2.868,4
Keaton Mitchell,RB,LAC,134.8,136.0,64.9,89.9,RB44,RB45,-1.0,25.0,38.521,5
Jake Tonges,TE,SF,214.4,228.0,33.1,55.8,TE35,TE42,-7.0,22.7,68.58,3
Rashod Bateman,WR,BAL,202.5,201.0,113.1,70.1,WR81,WR91,-10.0,-43.0,-38.019,3
Malik Davis,RB,DAL,215.9,299.0,62.4,30.7,RB80,RB80,0.0,-31.7,-50.801,4
Jalen McMillan,WR,TB,145.9,147.0,110.6,105.4,WR62,WR58,4.0,-5.2,-4.702,4
Adam Randall,RB,BAL,215.8,263.0,61.0,26.1,RB78,RB89,-11.0,-34.9,-57.213,4
Jauan Jennings,WR,MIN,155.6,156.0,109.6,86.2,WR65,WR68,-3.0,-23.4,-21.35,3
Jalen Nailor,WR,LV,149.5,149.0,108.5,107.6,WR63,WR57,6.0,-0.9,-0.829,4
Kimani Vidal,RB,LAC,213.2,222.0,55.1,53.0,RB66,RB62,4.0,-2.1,-3.811,4
De'Zhaun Stribling,WR,SF,145.3,146.0,106.4,105.4,WR61,WR59,2.0,-1.0,-0.94,3
James Conner,RB,ARI,214.5,230.0,52.5,53.7,RB70,RB61,9.0,1.2,2.286,5
Adonai Mitchell,WR,NYJ,172.2,172.0,103.8,80.8,WR70,WR72,-2.0,-23.0,-22.158,4
Emanuel Wilson,RB,SEA,215.9,282.0,47.4,51.0,RB81,RB64,17.0,3.6,7.595,4
Antonio Williams,WR,WAS,173.8,173.0,103.6,61.2,WR71,WR96,-25.0,-42.4,-40.927,4
Jaylen Wright,RB,MIA,215.5,249.0,47.0,41.1,RB73,RB74,-1.0,-5.9,-12.553,4
Cooper Kupp,WR,SEA,209.3,209.0,101.4,70.4,WR85,WR90,-5.0,-31.0,-30.572,3
Ben Sinnott,TE,WAS,215.9,275.0,25.7,22.0,TE48,TE82,-34.0,-3.7,-14.397,3
Denzel Boston,WR,CLE,154.3,155.0,99.8,93.15,WR64,WR66,-2.0,-6.65,-6.663,4
Omar Cooper,WR,NYJ,145.1,145.0,97.3,104.6,WR60,WR60,0.0,7.3,7.503,4
Jaydon Blue,RB,DAL,181.7,183.0,42.1,41.4,RB55,RB73,-18.0,-0.7,-1.663,4
MarShawn Lloyd,RB,GB,189.2,190.0,39.9,48.3,RB57,RB68,-11.0,8.4,21.053,4
Germie Bernard,WR,PIT,193.7,194.0,95.8,80.9,WR78,WR71,7.0,-14.9,-15.553,4
Travis Hunter,WR,JAX,140.7,140.0,90.8,79.1,WR59,WR74,-15.0,-11.7,-12.885,4
Isaiah Davis,RB,NYJ,215.8,267.0,38.3,54.0,RB79,RB60,19.0,15.7,40.992,4
George Holani,RB,SEA,212.4,217.0,37.1,23.2,RB64,RB95,-31.0,-13.9,-37.466,4
Xavier Legette,WR,CAR,214.8,233.0,90.8,54.0,WR94,WR106,-12.0,-36.8,-40.529,4
Jalen Milroe,QB,SEA,215.9,289.0,9.0,14.86,QB39,QB49,-10.0,5.86,65.111,3
Kayshon Boutte,WR,NE,195.6,196.0,89.5,79.1,WR79,WR75,4.0,-10.4,-11.62,3
LeQuint Allen,RB,JAX,215.7,261.0,34.9,47.2,RB76,RB71,5.0,12.3,35.244,5
Sean Tucker,RB,TB,191.2,192.0,34.4,50.5,RB58,RB66,-8.0,16.1,46.802,4
Darnell Mooney,WR,NYG,201.3,199.0,87.5,49.1,WR80,WR111,-31.0,-38.4,-43.886,4
Malik Washington,WR,MIA,181.4,182.0,85.3,82.2,WR74,WR69,5.0,-3.1,-3.634,4
Ja'Kobi Lane,WR,BAL,212.7,219.0,85.0,74.1,WR90,WR84,6.0,-10.9,-12.824,4
Ollie Gordon,RB,MIA,215.6,255.0,32.7,21.7,RB75,RB98,-23.0,-11.0,-33.639,4
Ray Davis,RB,BUF,188.1,187.0,32.0,60.6,RB56,RB54,2.0,28.6,89.375,4
Darius Slayton,WR,NYG,215.6,253.0,83.2,72.6,WR104,WR86,18.0,-10.6,-12.74,3
Emmett Johnson,RB,KC,198.3,197.0,31.9,61.2,RB59,RB52,7.0,29.3,91.85,5
Troy Franklin,WR,DEN,213.8,223.0,81.6,70.6,WR91,WR89,2.0,-11.0,-13.48,4
Tyquan Thornton,WR,KC,210.6,211.0,80.0,52.6,WR87,WR107,-20.0,-27.4,-34.25,3
DJ Giddens,RB,IND,214.7,231.0,31.6,27.0,RB71,RB88,-17.0,-4.6,-14.557,4
Zachariah Branch,WR,ATL,180.3,179.0,79.4,82.1,WR73,WR70,3.0,2.7,3.401,3
Jonah Coleman,RB,DEN,159.9,161.0,28.7,60.9,RB50,RB53,-3.0,32.2,112.195,5
Tory Horton,WR,SEA,212.6,218.0,79.3,76.5,WR89,WR78,11.0,-2.8,-3.531,4
Christian Kirk,WR,SF,215.1,240.0,76.9,36.9,WR98,WR117,-19.0,-40.0,-52.016,4
Devaughn Vele,WR,NO,214.9,235.0,76.7,74.5,WR95,WR83,12.0,-2.2,-2.868,4
Hollywood Brown,WR,PHI,215.9,285.0,73.9,55.0,WR116,WR104,12.0,-18.9,-25.575,3
Andrei Iosivas,WR,CIN,215.2,241.0,73.8,75.3,WR99,WR81,18.0,1.5,2.033,4
Ryan Flournoy,WR,DAL,162.8,165.0,72.4,97.7,WR67,WR64,3.0,25.3,34.945,4
Isaac TeSlaa,WR,DET,169.3,169.0,72.4,88.9,WR69,WR67,2.0,16.5,22.79,4
Tre' Harris,WR,LAC,165.1,167.0,72.2,93.4,WR68,WR65,3.0,21.2,29.363,4
Jalen Tolbert,WR,MIA,215.5,248.0,71.8,27.7,WR102,WR132,-30.0,-44.1,-61.421,3
Chris Bell,WR,MIA,215.0,236.0,71.3,74.7,WR96,WR82,14.0,3.4,4.769,4
