player_name,team,age,adp,player_id,target_share,games_played,target_share_data_quality_flag,redzone_target_share,redzone_targets,adot,receptions,targets,rush_attempts,yards_per_reception,yac_per_reception,rush_attempts_per_game,rush_yards_per_attempt,qb_tier,team_wr1_target_share,wr_archetype_primary,wr_leans,wr_qb_context
Kirk Merritt,,26.0,216.0,00-0035844,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Kwamie Lassiter,,26.0,216.0,,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Lewis Bond,HOU,23.0,216.0,,,,,,,,,,,,,,,4.0,0.24593128390596747,unconfirmed,none,below_average_qb_context
Lil'Jordan Humphrey,DEN,28.0,216.0,00-0035406,0.12070434535643279,7.0,corrected,0.0224719101123595,2.0,8.733333333333333,13.0,25.0,0.0,12.0,2.230769230769231,0.0,,2.0,0.2299783549783545,unconfirmed,none,elite_qb_context
Malik Cunningham,DET,27.0,216.0,00-0038911,0.0,1.0,,0.0,0.0,,0.0,0.0,1.0,,,1.0,1.0,2.0,0.312727272727273,unconfirmed,none,elite_qb_context
Malik Heath,ATL,25.0,216.0,00-0038465,0.036956521739130374,7.0,corrected,0.0,0.0,9.285714285714286,6.0,7.0,0.0,14.333333333333334,4.833333333333333,0.0,,4.0,0.3057161207450221,unconfirmed,none,below_average_qb_context
Malik Taylor,,29.0,216.0,00-0035480,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Marquez Valdes-Scantling,DAL,31.0,216.0,00-0034272,0.09959595959595954,9.0,corrected,0.0641025641025641,5.0,12.666666666666666,14.0,29.0,0.0,8.571428571428571,2.0,0.0,,1.0,0.25205930807248833,unconfirmed,none,elite_qb_context
Maurice Alexander,CHI,29.0,216.0,00-0031393,0.0,2.0,,,,,,0.0,,,,,,2.0,0.23966165413533824,unconfirmed,none,elite_qb_context
Michael Strachan,,28.0,216.0,,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Nick Nash,WAS,26.0,216.0,,,,,,,,,,,,,,,1.0,0.2361111111111113,unconfirmed,none,elite_qb_context
Noah Brown,,30.0,216.0,00-0033591,0.1521604938271604,15.0,corrected,0.0392156862745098,2.0,14.5,5.0,66.0,0.0,16.6,2.2,0.0,,,0.0,boom_bust,none,unknown
Rakim Jarrett,,24.0,216.0,00-0038821,0.04151865008880987,8.0,,,,,,11.0,,,,,,,0.0,unconfirmed,none,unknown
Ricky White,SEA,24.0,216.0,00-0040653,,,,,,,,,,,,,,3.0,0.358241758241758,unconfirmed,none,average_qb_context
Robert Lewis,,23.0,216.0,,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Ronnie Bell,NO,26.0,216.0,00-0038647,0.053197398609601536,6.0,corrected,0.0384615384615384,2.0,19.5,2.0,10.0,0.0,11.5,0.5,0.0,,5.0,0.29336283185840656,unconfirmed,none,below_average_qb_context
Scotty Miller,CHI,29.0,216.0,,,,,,,,,,,,,,,2.0,0.23966165413533824,unconfirmed,none,elite_qb_context
Scotty Washington,,28.0,216.0,,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Sterling Shepard,,33.0,216.0,00-0032385,0.12811033698279542,13.0,corrected,0.1052631578947368,8.0,8.38888888888889,39.0,53.0,4.0,9.512820512820513,3.8205128205128207,0.3076923076923077,4.75,,0.0,high_floor,none,unknown
Terrace Marshall,MIA,26.0,216.0,00-0036955,0.034459459459459336,5.0,,,,,,6.0,,,,,,4.0,0.140692640692641,unconfirmed,none,below_average_qb_context
Tim Jones,JAX,28.0,216.0,00-0036497,0.0193913859645434,10.0,,0.0,0.0,4.0,1.0,6.0,0.0,15.0,11.0,0.0,,3.0,0.23658906882591102,unconfirmed,none,average_qb_context
Tim Patrick,NYJ,32.0,216.0,00-0033375,0.05737589649838274,13.0,,0.1034482758620689,9.0,10.75,15.0,24.0,0.0,12.466666666666667,3.6,0.0,,5.0,0.30357142857142855,unconfirmed,none,below_average_qb_context
Tommy Mellott,,24.0,216.0,,,,,,,,,,,,,,,,0.0,unconfirmed,none,unknown
Trebor Pena,JAX,24.0,216.0,,,,,,,,,,,,,,,3.0,0.23658906882591102,unconfirmed,none,average_qb_context
Trent Taylor,,31.0,216.0,00-0033292,0.0165692007797269,2.0,,,,,,1.0,,,,,,,0.0,unconfirmed,none,unknown
Trey Palmer,NO,25.0,216.0,00-0039052,0.04428656009473064,15.0,,,,,,22.0,,,,,,5.0,0.29336283185840656,unconfirmed,none,below_average_qb_context
Tylan Wallace,CLE,27.0,216.0,00-0036630,0.030377484922939537,11.0,,0.0357142857142857,2.0,13.375,4.0,8.0,0.0,11.25,4.25,0.0,,5.0,0.203065134099617,unconfirmed,none,below_average_qb_context
Tyler Johnson,DAL,27.0,216.0,00-0036427,0.07203389830508478,9.0,corrected,0.0491803278688524,3.0,11.666666666666666,12.0,18.0,0.0,16.416666666666668,5.333333333333333,0.0,,1.0,0.25205930807248833,unconfirmed,none,elite_qb_context
Tyler Scott,LAR,24.0,216.0,00-0038941,0.008079847908745049,4.0,,,,,,1.0,,,,,,1.0,0.3035714285714288,unconfirmed,none,elite_qb_context
Van Jefferson,WAS,30.0,216.0,00-0036415,0.11913746630727762,14.0,corrected,0.0588235294117647,3.0,11.98076923076923,29.0,52.0,0.0,12.068965517241379,2.8620689655172415,0.0,,1.0,0.2361111111111113,complementary,none,elite_qb_context
Will Sheppard,GB,24.0,216.0,,,,,,,,,,,,,,,2.0,0.2032608695652168,unconfirmed,none,elite_qb_context
Xavier Guillory,BAL,25.0,216.0,,,,,,,,,,,,,,,3.0,0.28992628992629,unconfirmed,none,average_qb_context
Xavier Restrepo,TEN,24.0,216.0,00-0040522,0.11226415094339605,2.0,corrected,0.0196078431372549,1.0,11.0,3.0,7.0,0.0,13.666666666666666,3.0,0.0,,5.0,0.29572564612326074,unconfirmed,none,below_average_qb_context
Xavier Weaver,ARI,25.0,216.0,00-0039521,0.05116925214169937,7.0,corrected,0.0285714285714285,3.0,14.76923076923077,7.0,13.0,0.0,9.571428571428571,2.857142857142857,0.0,,4.0,0.204213938411669,unconfirmed,none,below_average_qb_context
