Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
22,7,6,108,0.05555555555555555,5.56,4,72,0.05555555555555555,5.56,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,1,36,0.027777777777777776,2.78,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
23,11,6,108,0.05555555555555555,5.56,6,72,0.08333333333333333,8.33,5,60,0.08333333333333333,8.33,2,45,0.044444444444444446,4.44,1,36,0.027777777777777776,2.78,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
24,25,11,108,0.10185185185185185,10.19,9,72,0.125,12.5,7,60,0.11666666666666667,11.67,5,45,0.1111111111111111,11.11,5,36,0.1388888888888889,13.89,3,18,0.16666666666666666,16.67,2,15,0.13333333333333333,13.33,0,9,0.0,0.0,0,3,0.0,0.0
25,33,16,108,0.14814814814814814,14.81,6,72,0.08333333333333333,8.33,6,60,0.1,10.0,5,45,0.1111111111111111,11.11,4,36,0.1111111111111111,11.11,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
26,23,11,108,0.10185185185185185,10.19,7,72,0.09722222222222222,9.72,5,60,0.08333333333333333,8.33,4,45,0.08888888888888889,8.89,4,36,0.1111111111111111,11.11,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,0,9,0.0,0.0,0,3,0.0,0.0
27,24,13,108,0.12037037037037036,12.04,8,72,0.1111111111111111,11.11,7,60,0.11666666666666667,11.67,7,45,0.15555555555555556,15.56,6,36,0.16666666666666666,16.67,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,2,9,0.2222222222222222,22.22,2,3,0.6666666666666666,66.67
28,22,10,108,0.09259259259259259,9.26,8,72,0.1111111111111111,11.11,8,60,0.13333333333333333,13.33,5,45,0.1111111111111111,11.11,4,36,0.1111111111111111,11.11,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,2,9,0.2222222222222222,22.22,0,3,0.0,0.0
29,20,5,108,0.046296296296296294,4.63,4,72,0.05555555555555555,5.56,4,60,0.06666666666666667,6.67,4,45,0.08888888888888889,8.89,4,36,0.1111111111111111,11.11,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,1,9,0.1111111111111111,11.11,1,3,0.3333333333333333,33.33
30,15,5,108,0.046296296296296294,4.63,4,72,0.05555555555555555,5.56,4,60,0.06666666666666667,6.67,4,45,0.08888888888888889,8.89,4,36,0.1111111111111111,11.11,2,18,0.1111111111111111,11.11,1,15,0.06666666666666667,6.67,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
31,10,3,108,0.027777777777777776,2.78,1,72,0.013888888888888888,1.39,1,60,0.016666666666666666,1.67,1,45,0.022222222222222223,2.22,1,36,0.027777777777777776,2.78,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
